DESCRIPTION,FA_ACCEPTED_DATE,FA_ANALYST,FA_LOCATION,LOT,MOULD_COMPOUND,PK_PACKAGE_NAME,PLAN_TRANSFER_DAY_TO_FA,PRECEDING_STRESS_OPERATION,PRECEEDING_STRESS,PROD_BASIC_TYPE,PROJ_PROJECT_NAME,PROJ_THEMA2,PROJECT_LINE,QM,STARTING_MONTH,TEMPLATE_NAME,TEST_ALREADY_IN_FA,TEST_LAB_TRACKING_NO,TESTSTATE,WIRE_DIAMETER,WIRE_MATERIAL,PRIORITY,PROJ_ID
,,,FA-SIN,D_569365,EME G750 SE (low alpha),PG-LFBGA-516-10,4/11/2023 12:00:00 AM,T_HTS_2000_R3,HTSL,M4299,Q21_VH07_TC299TX_NewPlatingJXN_BGA516_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,,,3,258650
"TC3000x Q006 IPI,
pls fill in excel file for ball pull, shear & wedge pull same as  0hr IPI  SI224118.02  attachment

Pls send sample to SIN FA
Attention to Dan Swee Tong (IFAP FE QM FA PI) ",,,FA-SIN,MM,MC_EME G750 SE,PG-FBGA-516-1,4/12/2023 12:00:00 AM,SPLIT,TC,M3991,C40 TC38x M3991A FBGA516-1 3rd Source Substrate ZDT GCM Qual - MM,NER_2021/22_01606,PQ_OSA,Lam Ying Ying (IFAP BE TS QM RQ 1),2023-04,IPI-Q006,No,SI224118.14,PRELIM,20µm,BW_CuPd_4N_20_µm,3,276213
"(DUAL) HTSL1000h@175°C PTA_VLVL

Shipment Details:
- Attention to: Ong Si Hui (IFAP FE QM FA PI) <SiHui.Ong@infineon.com>
- Address: Infineon Technologies Asia Pacific Pte Ltd, 168 Kallang Way, Singapore 349253
- Contact Number: +6568400556

Please refer to PTA instruction & worksheet for ball shear submission attached in _____.
Please kindly note down the all the laser marking numbers on the mold compound before decapping.
This is to ensure the traceability at Assembly side in case any observations found from the PTA.
",,,FA SIN_PTA,D_624091,EME G631 H,PG-VQFN-16-5,4/12/2023 12:00:00 AM,T_HTS_1000_R1,HTSL,R5502,Q22PWL019_,ATR_Angle_Sensor_M5502_VQFN3X3_ASEKH,OSA,Pan Wenli (IFAP BE TS QM RQ 3),2023-04,PTA,No,VQ230811.21,PRELIM,25µm,2N Au Wire,3,278713
,,,FA-SIN,D_569306,MC_EME G750 SE,PG-BGA-416-29,4/14/2023 12:00:00 AM,T_TC_2000_R3,TC,M4289,Q21_VH05_TC298_NewPlatingJXN_BGA416_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258637
"(DUAL) HTSL1000h@175°C PTA_VHVH

Shipment Details:
- Attention to: Ong Si Hui (IFAP FE QM FA PI) <SiHui.Ong@infineon.com>
- Address: Infineon Technologies Asia Pacific Pte Ltd, 168 Kallang Way, Singapore 349253
- Contact Number: +6568400556

Please refer to PTA instruction & worksheet for ball shear submission attached in _____.
Please kindly note down the all the laser marking numbers on the mold compound before decapping.
This is to ensure the traceability at Assembly side in case any observations found from the PTA.
",,,FA SIN_PTA,D_626267,EME G631 H,PG-VQFN-16-5,4/14/2023 12:00:00 AM,T_HTS_1000_R1,HTSL,R5502,Q22PWL020,ATR_Angle_Sensor_M5502_VQFN3X3_ASEKH,OSA,Pan Wenli (IFAP BE TS QM RQ 3),2023-04,PTA,No,VQ230812.11,PRELIM,25µm,2N Au Wire,3,279458
,,,FA-SIN,D_569410,MC_EME G750 SE,PG-LFBGA-292-10,4/14/2023 12:00:00 AM,T_TC_2000_R3,TC,M4299,Q21_VH08_TC297TA_NewPlatingJXN_BGA292_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258655
,,,FA-SIN,D_569237,MC_EME G750 SE,PG-LFBGA-292-6,4/17/2023 12:00:00 AM,T_PTC_2000_R3,PTC,M4287,Q21_VH02_TC277_NewPlatingJXN_BGA292_ATK,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258605
TC500x(-65/175)-PTA,,,FA SIN_PTA,D_623965,G750E,PG-LFBGA-436-1,4/17/2023 12:00:00 AM,SPLIT,TC,M4706,N28_M4706_LFBGA436_VHVH,"Package Qual, VHVH",PT_OSA,Wong Choon Kiat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,,3,278661
,,,FA-SIN,D_569310,MC_EME G750 SE,PG-LFBGA-292-10,4/19/2023 12:00:00 AM,T_TC_2000_R3,TC,M4287,Q21_VH06_TC277_NewPlatingJXN_BGA292_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258640
PC Q006 -MM,,,FA SIN_PTA,D_593112,EME G720 AH,PG-LDSO-14-2,4/20/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK20,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 MM leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224312.03,PRELIM,30µm,Cu-5N,3,267372
uHast264h-PTA,,,FA SIN_PTA,D_623965,G750E,PG-LFBGA-436-1,4/20/2023 12:00:00 AM,SPLIT,UHST,M4706,N28_M4706_LFBGA436_VHVH,"Package Qual, VHVH",PT_OSA,Wong Choon Kiat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,,3,278661
PC Q006 -MM,,,FA SIN_PTA,D_596915,EME G720 AH,PG-LDSO-14-1,4/21/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK24,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 MM leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,,PRELIM,30µm,Cu-5N,3,268733
PC Q006 -HH,,,FA SIN_PTA,D_596919,EME G720 AH,PG-LDSO-14-1,4/21/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK26,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 HH  leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224713.03,PRELIM,30µm,Cu-5N,3,268736
PC Q006 -LL,,,FA SIN_PTA,D_596918,EME G720 AH,PG-LDSO-14-1,4/21/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK25,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 LL leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224712.03,PRELIM,30µm,Cu-5N,3,268735
PC Q006 -LL,,,FA SIN_PTA,D_597202,EME G720 AH,PG-LDSO-14-1,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK35,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 LL leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224715.03,PRELIM,30µm,Cu-5N,3,268868
,,,FA-SIN,D_569410,MC_EME G750 SE,PG-LFBGA-292-10,4/24/2023 12:00:00 AM,T_HTS_2000_R3,HTSL,M4299,Q21_VH08_TC297TA_NewPlatingJXN_BGA292_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258655
,,,FA-SIN,D_569306,MC_EME G750 SE,PG-BGA-416-29,4/24/2023 12:00:00 AM,T_HTS_2000_R3,HTSL,M4289,Q21_VH05_TC298_NewPlatingJXN_BGA416_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258637
PC Q006 -MM,,,FA SIN_PTA,D_597196,EME G720 AH,PG-LDSO-14-2,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK32,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 HH leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224318.03,PRELIM,30µm,Cu-5N,3,268865
PC Q006 -MM,,,FA SIN_PTA,D_593390,EME G720 AH,PG-LDSO-14-2,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK22,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 HH leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224314.03,PRELIM,30µm,Cu-5N,3,267499
"HTSL1000h-PTA
",,,FA SIN_PTA,D_588661,EME G750 SE,PG-LFBGA-516-11,4/24/2023 12:00:00 AM,SPLIT,HTSL,M3990,C40_TC39x_M3990B_LFBGA516-10_ATC_MM,ALP_A2G_C40_BGA516_ATC ,PT_OSA,Chua Su Ya (IFAP BE TS QM RQ 3),2023-04,PTA,No,SI224714.07,PRELIM,,CU-4N 20µM PD-COATED,3,265752
PC Q006 -MM,,,FA SIN_PTA,D_597191,EME G720 AH,PG-LDSO-14-2,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK30,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 MM leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224316.03,PRELIM,30µm,Cu-5N,3,268860
PC Q006 -HH,,,FA SIN_PTA,D_597203,EME G720 AH,PG-LDSO-14-1,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK36,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 HH  leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224716.03,PRELIM,30µm,Cu-5N,3,268869
PC Q006 -MM,,,FA SIN_PTA,D_593389,EME G720 AH,PG-LDSO-14-2,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK21,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224313.03,PRELIM,30µm,Cu-5N,3,267498
PC Q006 -MM,,,FA SIN_PTA,D_597201,EME G720 AH,PG-LDSO-14-1,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK34,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 MM leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224714.03,PRELIM,30µm,Cu-5N,3,268867
PC Q006 -MM,,,FA SIN_PTA,D_597194,EME G720 AH,PG-LDSO-14-2,4/24/2023 12:00:00 AM,SPLIT,PC,U5151,Q22TSK31,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-04,PTA-Q006,No,MT224317.03,PRELIM,30µm,Cu-5N,3,268863
"IPI after PTC 2000h
IPI tasks according to attached guideline, package technology qualification",,,FA-SIN,D_469871,,PG-F2BGA-436-2,4/25/2023 12:00:00 AM,T_PTC_2000_R3,PTC,M4749,TC49x_A_Step_F2BGA436_STD_OVM_Qualification_PTC,,58,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2023-04,IPI,No,,PRELIM,,,3,226281
,,,FA-SIN,D_569310,MC_EME G750 SE,PG-LFBGA-292-10,4/25/2023 12:00:00 AM,T_HTS_2000_R3,HTSL,M4287,Q21_VH06_TC277_NewPlatingJXN_BGA292_ASE,,58,Hatsch Veronique (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,258640
Q006: PTA after 0hr,,,FA SIN_PTA,D_591548,MC_EME G750 SE,PG-LFBGA-516-5,4/26/2023 12:00:00 AM,SPLIT,PC,M4299,Q22GU04_GU057,M4299Z_LFBGA516_JXN_Qual_MM,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266800
,,,FA-SIN,D_569525,MC_CEL 9240 HF10 AKI2U,PG-LQFP-144-22,4/26/2023 12:00:00 AM,T_THB_1000_R3,THB,M4296,Q21_VH10_TC264DA_NewPlatingJXN_LQFP144_ASE,,58,Savardi Chiara (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,25µm,BW_AuPd/Cu_4N_25_µm,3,258715
Q006: PTA after 0hr,,,FA SIN_PTA,D_591549,MC_EME G750 SE,PG-LFBGA-516-5,4/26/2023 12:00:00 AM,SPLIT,PC,M4299,Q22GU04_GU058,M4299Z_LFBGA516_JXN_Qual_HH,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266801
Q006: PTA after 0hr,,,FA SIN_PTA,D_591544,MC_EME G750 SE,PG-BGA-416-26,4/26/2023 12:00:00 AM,SPLIT,PC,M4289,Q22GU03_GU055,M4289Z_BGA416_JXN_Qual_HH,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266797
,,,FA-SIN,D_569524,MC_CEL 9240 HF10 AKI2U,PG-LQFP-176-22,4/26/2023 12:00:00 AM,T_THB_1000_R3,THB,M4286,Q21_VH09_TC265D_NewPlatingJXN_LQFP176_ASE,,58,Savardi Chiara (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,25µm,BW_AuPd/Cu_4N_25_µm,3,258714
Q006: PTA after 0hr,,,FA SIN_PTA,D_591541,MC_EME G750 SE,PG-BGA-416-26,4/26/2023 12:00:00 AM,SPLIT,PC,M4289,Q22GU03_GU053,M4289Z_BGA416_JXN_Qual_LL,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266795
Q006: PTA after 0hr,,,FA SIN_PTA,D_591546,MC_EME G750 SE,PG-LFBGA-516-5,4/26/2023 12:00:00 AM,SPLIT,PC,M4299,Q22GU04_GU056,M4299Z_LFBGA516_JXN_Qual_LL,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266799
Q006: PTA after 0hr,,,FA SIN_PTA,D_591557,MC_EME G750 SE,PG-LFBGA-292-6,4/26/2023 12:00:00 AM,SPLIT,PC,M4283,Q22GU05_GU061,M4283Z_LFBGA292_JXN_Qual_HH,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266805
Q006: PTA after 0hr,,,FA SIN_PTA,D_591552,MC_EME G750 SE,PG-LFBGA-292-6,4/26/2023 12:00:00 AM,SPLIT,PC,M4283,Q22GU05_GU059,M4283Z_LFBGA292_JXN_Qual_LL,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266803
HTSL1000h-PTA,,,FA SIN_PTA,D_623965,G750E,PG-LFBGA-436-1,4/26/2023 12:00:00 AM,SPLIT,HTSL,M4706,N28_M4706_LFBGA436_VHVH,"Package Qual, VHVH",PT_OSA,Wong Choon Kiat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,,3,278661
0h PTA,,,FA SIN_PTA,D_590254,MC_EME G750 SE,PG-BGA-416-26,4/26/2023 12:00:00 AM,SPLIT,PC,M4289,Q22GU03_GU052,M4289Z_BGA416_JXN_Qual_VHVH,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266299
0h PTA,,,FA SIN_PTA,D_590233,MC_EME G750 SE,PG-BGA-416-26,4/26/2023 12:00:00 AM,SPLIT,PC,M4289,Q22GU03_GU051,M4289Z_BGA416_JXN_Qual_VLVL,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266296
Q006: PTA after 0hr,,,FA SIN_PTA,D_591543,MC_EME G750 SE,PG-BGA-416-26,4/26/2023 12:00:00 AM,SPLIT,PC,M4289,Q22GU03_GU054,M4289Z_BGA416_JXN_Qual_MM,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266796
Q006: PTA after 0hr,,,FA SIN_PTA,D_591556,MC_EME G750 SE,PG-LFBGA-292-6,4/26/2023 12:00:00 AM,SPLIT,PC,M4283,Q22GU05_GU060,M4283Z_LFBGA292_JXN_Qual_MM,PT_OSA,Gui Hay Tat (IFAP BE TS QM RQ 3),2023-04,PTA-Q006,No,,NEW,20µm,BW_Pd/Cu_4N_20_µm,3,266804
,,,FA-SIN,D_569524,MC_CEL 9240 HF10 AKI2U,PG-LQFP-176-22,4/27/2023 12:00:00 AM,T_PTC_1000_R3,PTC,M4286,Q21_VH09_TC265D_NewPlatingJXN_LQFP176_ASE,,58,Savardi Chiara (IFAG ATV QM MC P58),2023-04,IPI,No,,NEW,25µm,BW_AuPd/Cu_4N_25_µm,3,258714
"THB1000h_HH_PTA

Please ship units to Dan Swee Tong (IFAP FE QM FA PI) <SweeTong.Dan@infineon.com>
Contact: +65 68664504
Address: 168 Kallang Way, Singapore 349253

Refer to attached PTA instruction in 
Ball bond diameter: Pending
MC:AMKMC31, DA:AB8290, PCC:25UM
ASM, PPF with two sided roughening

Pls keep the worst delam or mold abnormally unit for further analysis
Pls provide the estimation for measurement if delam or mold abnormally observed. ",,,FA SIN_PTA,D_589028,N/A,PG-TSSOP-16-11,4/30/2023 12:00:00 AM,T_THB_1000_R3,THB,M3891,Q22PWL006_KBL821,ATR_M3892_Lorentz_TSSOP16_G0_ATP1_HH,OSA,Pan Wenli (IFAP BE TS QM RQ 3),2023-04,PTA,No,VQ223714.15,PRELIM,25µm,N/A,3,265854
HTS500hrs  Q006 -MM,,,FA SIN_PTA,D_593112,EME G720 AH,PG-LDSO-14-2,5/2/2023 12:00:00 AM,SPLIT,HTSL,U5151,Q22TSK20,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 MM leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA-Q006,No,MT224312.15,PRELIM,30µm,Cu-5N,3,267372
IPI THB 500h for product,,,FA-SIN,D_623965,G750E,PG-LFBGA-436-1,5/2/2023 12:00:00 AM,SPLIT,THB,M4706,N28_M4706_LFBGA436_VHVH,"Package Qual, VHVH",PT_OSA,Wong Choon Kiat (IFAP BE TS QM RQ 3),2023-05,IPI,No,,NEW,20µm,,3,278661
HTS500hrs  Q006 -MM,,,FA SIN_PTA,D_593389,EME G720 AH,PG-LDSO-14-2,5/4/2023 12:00:00 AM,SPLIT,HTSL,U5151,Q22TSK21,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA-Q006,No,MT224313.15,PRELIM,30µm,Cu-5N,3,267498
HTS500hrs  Q006 -MM,,,FA SIN_PTA,D_597191,EME G720 AH,PG-LDSO-14-2,5/4/2023 12:00:00 AM,SPLIT,HTSL,U5151,Q22TSK30,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 MM leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA-Q006,No,MT224316.15,PRELIM,30µm,Cu-5N,3,268860
HTS500hrs  Q006 -MM,,,FA SIN_PTA,D_593390,EME G720 AH,PG-LDSO-14-2,5/4/2023 12:00:00 AM,SPLIT,HTSL,U5151,Q22TSK22,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 HH leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA-Q006,No,MT224314.15,PRELIM,30µm,Cu-5N,3,267499
TC500c non-Q006 -MM,,,FA SIN_PTA,D_593112,EME G720 AH,PG-LDSO-14-2,5/4/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK20,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 MM leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224312.06,PRELIM,30µm,Cu-5N,3,267372
HTS500hrs  Q006 -MM,,,FA SIN_PTA,D_597194,EME G720 AH,PG-LDSO-14-2,5/4/2023 12:00:00 AM,SPLIT,HTSL,U5151,Q22TSK31,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA-Q006,No,MT224317.15,PRELIM,30µm,Cu-5N,3,268863
HTS500hrs  Q006 -MM,,,FA SIN_PTA,D_597196,EME G720 AH,PG-LDSO-14-2,5/4/2023 12:00:00 AM,SPLIT,HTSL,U5151,Q22TSK32,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 HH leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA-Q006,No,MT224318.15,PRELIM,30µm,Cu-5N,3,268865
UHAST264hrs non-Q006 -MM,,,FA SIN_PTA,D_593112,EME G720 AH,PG-LDSO-14-2,5/6/2023 12:00:00 AM,SPLIT,UHST_264,U5151,Q22TSK20,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 MM leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224312.12,PRELIM,30µm,Cu-5N,3,267372
TC500c non-Q006 -LL,,,FA SIN_PTA,D_596918,EME G720 AH,PG-LDSO-14-1,5/8/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK25,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 LL leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224712.06,PRELIM,30µm,Cu-5N,3,268735
TC500c non-Q006 -HH,,,FA SIN_PTA,D_596919,EME G720 AH,PG-LDSO-14-1,5/8/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK26,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 HH  leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224713.06,PRELIM,30µm,Cu-5N,3,268736
TC500c non-Q006 -MM,,,FA SIN_PTA,D_596915,EME G720 AH,PG-LDSO-14-1,5/8/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK24,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 MM leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,,PRELIM,30µm,Cu-5N,3,268733
UHAST264hrs non-Q006 -MM,,,FA SIN_PTA,D_597194,EME G720 AH,PG-LDSO-14-2,5/9/2023 12:00:00 AM,SPLIT,UHST_264,U5151,Q22TSK31,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224317.12,PRELIM,30µm,Cu-5N,3,268863
"IPI after THB 2000h
IPI tasks according to attached guideline, package technology qualification",,,FA-SIN,D_469574,,PG-F2BGA-436-2,5/9/2023 12:00:00 AM,SPLIT,THB,M4749,TC49x_A_Step_F2BGA436_STD_OVM_Qualification_Package,,58,Thajudin Ahmed Fazir (IFAG ATV QM MC P58),2023-05,IPI,No,,PRELIM,,,3,226197
TC500c non-Q006 -MM,,,FA SIN_PTA,D_597194,EME G720 AH,PG-LDSO-14-2,5/9/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK31,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224317.06,PRELIM,30µm,Cu-5N,3,268863
TC500c non-Q006 -LL,,,FA SIN_PTA,D_597202,EME G720 AH,PG-LDSO-14-1,5/9/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK35,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 LL leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224715.06,PRELIM,30µm,Cu-5N,3,268868
TC500c non-Q006 -MM,,,FA SIN_PTA,D_597201,EME G720 AH,PG-LDSO-14-1,5/9/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK34,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 MM leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224714.06,PRELIM,30µm,Cu-5N,3,268867
TC500c non-Q006 -MM,,,FA SIN_PTA,D_593390,EME G720 AH,PG-LDSO-14-2,5/9/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK22,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 HH leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224314.06,PRELIM,30µm,Cu-5N,3,267499
TC500c non-Q006 -HH,,,FA SIN_PTA,D_597203,EME G720 AH,PG-LDSO-14-1,5/9/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK36,LDSO-14-1_2EDi-V2_150mils Thin --A3-A7.1 HH  leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224716.06,PRELIM,30µm,Cu-5N,3,268869
UHAST264hrs non-Q006 -MM,,,FA SIN_PTA,D_597196,EME G720 AH,PG-LDSO-14-2,5/9/2023 12:00:00 AM,SPLIT,UHST_264,U5151,Q22TSK32,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 HH leg (Cu-Cu),DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224318.12,PRELIM,30µm,Cu-5N,3,268865
UHAST264hrs non-Q006 -MM,,,FA SIN_PTA,D_593390,EME G720 AH,PG-LDSO-14-2,5/9/2023 12:00:00 AM,SPLIT,UHST_264,U5151,Q22TSK22,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 HH leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224314.12,PRELIM,30µm,Cu-5N,3,267499
UHAST264hrs non-Q006 -MM,,,FA SIN_PTA,D_593389,EME G720 AH,PG-LDSO-14-2,5/9/2023 12:00:00 AM,SPLIT,UHST_264,U5151,Q22TSK21,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224313.12,PRELIM,30µm,Cu-5N,3,267498
TC500c non-Q006 -MM,,,FA SIN_PTA,D_593389,EME G720 AH,PG-LDSO-14-2,5/9/2023 12:00:00 AM,SPLIT,TC,U5151,Q22TSK21,LDSO-14-2_2EDi-V2_300mils Thin --A3-A7.1 LL leg,DSO_PD,Tay Soon Kiat (IFAP BE TS QM RQ 1),2023-05,PTA,No,MT224313.06,PRELIM,30µm,Cu-5N,3,267498
